Data,UF,Total_Focos,Qtd_Municipios_Com_Fogo,Media_Focos_Mun_Com_Fogo,FRP_Medio,FRP_Soma,FRP_Maximo,Risco_Fogo_Medio,Dias_Secos_Medio,Precipitacao_Media,Temp_Max_Media,Temp_Min_Media,Umidade_Relativa_Media,VPD_Medio,Evapotranspiracao_Media,Radiacao_Solar_Media,Velocidade_Vento_Media,CABIXI_15124009,PIMENTEIRAS_15130000,PEDRAS_NEGRAS_15150000,PRINCIPE_DA_BEIRA_15200000,BOCA_DO_POMPEU_-_JUSANTE_15248010,GUAJARÁ-MIRIM_15250000,PORTO_VELHO_15400000,FAZENDA_FLOR_DO_CAMPO_15552600,PIMENTA_BUENO_15558000,JIPARANÁ_15560000
2005-04,RO,63.0,13.0,4.85,15.75,944.9,62.2,-,-,96.75,31.28,21.6,83.09,0.6,97.88,457.58,0.84,378.18,625.87,649.25,1104.32,405.13,988.63,1262.28,337.05,563.18,827.13
2005-05,RO,131.0,20.0,6.55,21.61,2010.0,282.6,-,-,80.44,32.18,21.54,80.61,0.69,102.17,491.17,0.77,294.81,527.94,606.13,905.97,357.71,873.1,931.95,293.9,481.48,736.89
2005-06,RO,549.0,41.0,13.39,24.27,9901.8,1123.5,-,-,15.37,32.44,19.86,76.11,0.81,101.92,506.05,0.85,256.47,444.95,503.06,684.73,261.8,789.91,784.7,273.29,430.99,689.82
2005-07,RO,4548.0,51.0,89.18,43.97,144307.0,3143.0,-,-,0.8,32.16,17.55,71.09,0.91,111.83,560.5,0.96,224.37,368.42,330.79,493.95,157.47,668.19,493.13,260.76,398.11,660.39
2005-08,RO,39986.0,52.0,768.96,74.47,1724264.9,10249.3,-,-,12.32,33.98,18.97,65.57,1.19,116.29,513.25,0.95,205.28,320.77,246.13,402.58,103.77,580.85,263.84,252.26,378.52,639.08
2005-09,RO,57115.0,52.0,1098.37,67.06,2436240.0,7027.8,-,-,53.23,33.32,19.87,70.82,1.04,111.91,474.37,1.11,207.5,301.24,227.5,378.77,95.9,558.7,180.77,253.12,372.87,635.95
2005-10,RO,11878.0,52.0,228.42,46.84,320667.9,3135.4,-,-,173.22,34.45,22.14,77.44,0.88,122.12,527.36,0.91,228.18,313.94,234.31,377.32,85.42,594.27,297.73,269.78,414.61,670.48
2005-11,RO,1439.0,48.0,29.98,35.08,33920.2,568.7,-,-,180.42,33.05,22.67,81.36,0.71,116.54,520.43,0.88,246.3,338.28,257.96,433.78,104.35,675.14,597.43,270.45,425.3,682.12
2005-12,RO,96.0,21.0,4.57,26.69,2215.4,330.4,-,-,349.2,31.57,22.21,85.56,0.51,103.79,468.62,0.89,392.71,451.46,351.82,538.13,235.77,769.63,903.55,324.52,552.45,790.45
2006-01,RO,33.0,12.0,2.75,11.25,281.3,28.3,-,-,311.57,31.44,22.25,85.63,0.51,106.3,485.48,0.82,435.43,609.67,554.29,821.75,480.47,910.21,1248.74,392.16,796.18,951.48
2006-02,RO,29.0,11.0,2.64,10.67,256.1,15.8,-,-,343.9,30.96,22.53,87.39,0.45,89.28,408.0,0.78,432.48,685.93,675.46,1102.56,543.89,1038.64,1521.07,470.5,819.14,1000.59
